               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.026873,            0.011559,            0.002967,             0.66172,             0.63895,             0.62442,             0.33606,            0.037948,             0.01177,            0.029504,            0.002377,            0.002377,            0.002377
                  79,            0.026666,             0.01153,           0.0028952,             0.70932,             0.60275,             0.63311,             0.33467,            0.038246,             0.01171,            0.027938,            0.002278,            0.002278,            0.002278
                  80,            0.026428,            0.011509,           0.0028998,             0.70271,             0.62905,             0.64868,              0.3394,            0.038445,            0.011815,            0.030071,            0.002179,            0.002179,            0.002179
                  81,            0.026401,            0.011735,           0.0025571,             0.66864,             0.62106,             0.63219,             0.33874,            0.038424,            0.011855,            0.031736,             0.00208,             0.00208,             0.00208
                  82,             0.02625,            0.011356,           0.0027914,             0.74427,             0.60681,             0.64441,             0.34277,             0.03827,            0.012023,            0.028298,            0.001981,            0.001981,            0.001981
                  83,            0.025645,            0.011177,           0.0025062,             0.67743,             0.63118,             0.64017,             0.34343,            0.038077,            0.011874,            0.030823,            0.001882,            0.001882,            0.001882
                  84,             0.02543,            0.011127,           0.0023059,             0.71746,              0.6097,             0.64489,             0.34452,            0.037789,            0.012024,               0.029,            0.001783,            0.001783,            0.001783
                  85,            0.025239,            0.011122,           0.0022882,             0.72303,             0.62456,             0.65045,              0.3419,            0.038071,            0.012003,             0.02952,            0.001684,            0.001684,            0.001684
                  86,            0.025313,            0.011071,           0.0022915,             0.64401,             0.66154,             0.64512,             0.34322,            0.037976,            0.011986,            0.030007,            0.001585,            0.001585,            0.001585
                  87,            0.025042,            0.010908,           0.0021902,             0.70925,             0.62437,             0.64146,             0.34534,            0.037801,             0.01209,             0.03018,            0.001486,            0.001486,            0.001486
                  88,            0.025034,            0.011203,           0.0020929,              0.7259,             0.60612,             0.64078,             0.34126,            0.037952,            0.012067,            0.030753,            0.001387,            0.001387,            0.001387
